Year,Cause Name,State,Deaths
2002,Influenza and pneumonia,Vermont,111
2000,Influenza and pneumonia,District of Columbia,111
2009,Suicide,Wyoming,111
2000,Diabetes,Wyoming,111
2016,Alzheimer's disease,Alaska,111
2004,Suicide,South Dakota,112
2016,Diabetes,Wyoming,112
2013,Suicide,Vermont,112
2013,Influenza and pneumonia,Wyoming,112
2005,Alzheimer's disease,District of Columbia,112
2013,Diabetes,Alaska,112
2006,Alzheimer's disease,Wyoming,112
2001,Influenza and pneumonia,Wyoming,112
2000,Kidney disease,Hawaii,113
2014,Suicide,Rhode Island,113
2014,Influenza and pneumonia,Wyoming,113
2014,Diabetes,Alaska,113
2007,Influenza and pneumonia,Wyoming,113
2010,Alzheimer's disease,District of Columbia,114
2001,Alzheimer's disease,Wyoming,114
2004,Suicide,Hawaii,116
2000,Kidney disease,Montana,116
2003,Influenza and pneumonia,Vermont,116
2011,Influenza and pneumonia,Wyoming,116
1999,Influenza and pneumonia,District of Columbia,116
2006,Suicide,Wyoming,116
2007,Influenza and pneumonia,Delaware,117
2013,Kidney disease,North Dakota,117
2012,Kidney disease,North Dakota,117
2002,Kidney disease,Delaware,117
2006,Alzheimer's disease,District of Columbia,117
2006,Influenza and pneumonia,Wyoming,117
2001,Kidney disease,Rhode Island,118
2000,Alzheimer's disease,Hawaii,118
2009,Suicide,Rhode Island,118
2015,Kidney disease,North Dakota,118
2009,Kidney disease,North Dakota,118
2016,Suicide,Vermont,118
2016,Suicide,Delaware,119
2014,Alzheimer's disease,District of Columbia,119
2014,Diabetes,District of Columbia,119
2000,Influenza and pneumonia,Vermont,119
2004,Alzheimer's disease,District of Columbia,119
2005,Influenza and pneumonia,Wyoming,119
2006,Suicide,Hawaii,120
2002,Suicide,Hawaii,120
2011,Influenza and pneumonia,North Dakota,120
2011,Suicide,Vermont,120
2016,Alzheimer's disease,District of Columbia,120
2011,Alzheimer's disease,District of Columbia,120
2014,Suicide,Wyoming,120
2001,Diabetes,Wyoming,120
2015,Kidney disease,Montana,121
2012,Influenza and pneumonia,Delaware,121
2005,Suicide,South Dakota,121
2001,Alzheimer's disease,Hawaii,122
2013,Suicide,Delaware,122
2015,Suicide,Delaware,122
2002,Alzheimer's disease,Wyoming,122
2003,Kidney disease,Hawaii,123
2001,Kidney disease,Hawaii,123
2000,Kidney disease,Rhode Island,123
2012,Alzheimer's disease,Wyoming,123
2008,Influenza and pneumonia,Wyoming,123
2003,Kidney disease,South Dakota,124
2008,Suicide,South Dakota,124
2015,Suicide,North Dakota,124
2014,Suicide,Vermont,124
2016,Diabetes,Alaska,124
2003,Suicide,Alaska,124
2008,Suicide,Wyoming,124
2014,Kidney disease,Montana,125
2012,Suicide,Delaware,125
2006,Suicide,South Dakota,125
2008,Alzheimer's disease,Wyoming,125
2016,Suicide,Rhode Island,126
2014,Suicide,Delaware,126
2013,Alzheimer's disease,Wyoming,126
2006,CLRD,District of Columbia,126
2006,Diabetes,Wyoming,126
2000,Influenza and pneumonia,Wyoming,126
2015,Suicide,Rhode Island,127
2003,Influenza and pneumonia,Delaware,127
2016,Diabetes,District of Columbia,127
1999,Alzheimer's disease,Vermont,127
2001,Kidney disease,Montana,128
2010,Influenza and pneumonia,North Dakota,128
2002,Kidney disease,South Dakota,128
2005,Kidney disease,Delaware,128
2004,Kidney disease,Delaware,128
2011,Suicide,South Dakota,128
2002,Alzheimer's disease,Delaware,128
2013,Suicide,North Dakota,128
2009,Kidney disease,Montana,129
2010,Suicide,Rhode Island,129
2009,Suicide,South Dakota,129
2015,Alzheimer's disease,District of Columbia,129
2012,Alzheimer's disease,District of Columbia,129
2013,Suicide,Wyoming,129
2009,Diabetes,District of Columbia,129
2007,CLRD,District of Columbia,129
2006,Kidney disease,Idaho,130
2013,Kidney disease,Montana,130
2000,Kidney disease,South Dakota,130
2003,Kidney disease,Delaware,130
2013,Alzheimer's disease,District of Columbia,130
2008,Diabetes,Wyoming,130
2005,Diabetes,Wyoming,130
1999,Influenza and pneumonia,Wyoming,130
2004,Kidney disease,Rhode Island,131
2003,Suicide,Hawaii,131
2000,Suicide,New Hampshire,131
2005,Suicide,Alaska,131
2010,Suicide,Wyoming,131
2002,Suicide,New Hampshire,132
2016,Influenza and pneumonia,Delaware,132
2006,Kidney disease,Montana,132
2013,Suicide,Rhode Island,132
2009,Influenza and pneumonia,Delaware,132
2002,Suicide,Alaska,132
2008,Alzheimer's disease,District of Columbia,132
2011,Suicide,Wyoming,132
2005,CLRD,District of Columbia,132
2000,CLRD,Alaska,132
2007,Suicide,Hawaii,133
2008,Suicide,Hawaii,133
2004,Suicide,New Hampshire,133
1999,Kidney disease,Hawaii,133
2010,Kidney disease,Montana,133
2011,Influenza and pneumonia,Delaware,133
2012,Influenza and pneumonia,North Dakota,133
2007,Influenza and pneumonia,North Dakota,133
2001,Influenza and pneumonia,Vermont,133
2002,CLRD,District of Columbia,133
2007,Kidney disease,Idaho,134
2009,Influenza and pneumonia,South Dakota,134
2016,Influenza and pneumonia,North Dakota,134
2013,Influenza and pneumonia,North Dakota,134
2000,Alzheimer's disease,Vermont,134
1999,Influenza and pneumonia,Vermont,134
1999,Kidney disease,Utah,135
2014,Kidney disease,Rhode Island,135
2012,Kidney disease,Rhode Island,135
2008,Influenza and pneumonia,Delaware,135
2001,Alzheimer's disease,Delaware,135
2006,Suicide,Alaska,135
2002,Influenza and pneumonia,Wyoming,135
1999,Diabetes,Wyoming,135
2002,Kidney disease,Hawaii,136
2001,Suicide,Hawaii,136
1999,Suicide,Hawaii,136
2001,Kidney disease,New Hampshire,136
2015,Diabetes,Wyoming,136
2014,CLRD,District of Columbia,136
2009,CLRD,District of Columbia,136
2009,Alzheimer's disease,Wyoming,136
2014,Kidney disease,Idaho,137
2003,Suicide,Maine,137
2000,Suicide,Hawaii,137
1999,Suicide,New Hampshire,137
2014,Suicide,North Dakota,137
2000,Suicide,Alaska,137
2003,CLRD,District of Columbia,137
2010,Influenza and pneumonia,Delaware,138
2006,Influenza and pneumonia,North Dakota,138
2006,Influenza and pneumonia,Delaware,138
2009,Influenza and pneumonia,North Dakota,138
2016,Alzheimer's disease,Wyoming,138
2003,Diabetes,Wyoming,138
2012,Kidney disease,Delaware,139
2013,Diabetes,Vermont,139
2012,CLRD,District of Columbia,139
2008,CLRD,District of Columbia,139
2007,Diabetes,Wyoming,139
2004,CLRD,Alaska,139
2010,Suicide,South Dakota,140
2016,Suicide,North Dakota,140
2007,Alzheimer's disease,District of Columbia,140
2006,CLRD,Alaska,140
2016,Kidney disease,Rhode Island,141
2002,Alzheimer's disease,Hawaii,141
2002,Kidney disease,New Hampshire,141
2012,Suicide,South Dakota,141
2014,Suicide,South Dakota,141
2015,Kidney disease,Rhode Island,142
2002,Kidney disease,Rhode Island,142
2015,Diabetes,Alaska,142
2009,Influenza and pneumonia,Wyoming,142
2003,Alzheimer's disease,Wyoming,142
2002,CLRD,Alaska,142
2009,Diabetes,Vermont,143
2011,Suicide,Alaska,143
2009,Suicide,Alaska,143
2016,Suicide,Wyoming,144
2004,Influenza and pneumonia,Delaware,145
2012,Diabetes,District of Columbia,145
2009,Unintentional injuries,District of Columbia,145
2010,Diabetes,District of Columbia,145
2002,Diabetes,Wyoming,145
2003,Influenza and pneumonia,Wyoming,145
2010,Alzheimer's disease,Wyoming,146
1999,CLRD,Alaska,146
2016,Influenza and pneumonia,Montana,147
2013,Suicide,South Dakota,147
2003,Alzheimer's disease,Delaware,147
2015,CLRD,District of Columbia,147
2010,CLRD,District of Columbia,147
2003,CLRD,Alaska,147
2001,CLRD,Alaska,147
2013,Kidney disease,Idaho,148
2012,Kidney disease,Idaho,148
2008,Influenza and pneumonia,North Dakota,148
2004,Influenza and pneumonia,North Dakota,148
2013,Kidney disease,Rhode Island,149
2007,Kidney disease,New Hampshire,149
2003,Kidney disease,Rhode Island,149
2011,Kidney disease,Delaware,149
2007,Suicide,Alaska,149
2001,Alzheimer's disease,Vermont,149
2005,Kidney disease,Hawaii,150
2003,Kidney disease,New Hampshire,150
2013,Influenza and pneumonia,Delaware,150
2004,Diabetes,Vermont,150
2013,CLRD,District of Columbia,150
2001,CLRD,District of Columbia,150
2006,Suicide,New Hampshire,151
2008,Kidney disease,Montana,151
2010,Diabetes,Vermont,151
2008,Diabetes,Vermont,151
2015,Alzheimer's disease,Wyoming,151
2011,CLRD,District of Columbia,151
2000,Kidney disease,New Mexico,152
2006,Kidney disease,Delaware,152
2016,CLRD,District of Columbia,152
2011,Diabetes,District of Columbia,152
2007,Diabetes,District of Columbia,152
2011,Alzheimer's disease,Wyoming,153
2015,Kidney disease,Idaho,154
2011,Kidney disease,Idaho,154
2000,Suicide,Maine,154
2014,Diabetes,Vermont,154
2016,Kidney disease,Montana,155
2012,Influenza and pneumonia,Montana,155
1999,Alzheimer's disease,South Dakota,155
1999,Alzheimer's disease,North Dakota,155
2004,Alzheimer's disease,Delaware,155
1999,Influenza and pneumonia,Delaware,155
2004,Suicide,Alaska,155
2001,Diabetes,Vermont,155
2005,Kidney disease,Rhode Island,156
2011,Influenza and pneumonia,Montana,156
2014,Influenza and pneumonia,Delaware,156
2001,Alzheimer's disease,South Dakota,156
2008,Diabetes,District of Columbia,156
1999,Influenza and pneumonia,North Dakota,157
2015,Suicide,Wyoming,157
2014,Stroke,Alaska,157
2007,Stroke,Alaska,157
2006,Suicide,Maine,158
2007,Suicide,New Hampshire,158
2003,Suicide,New Hampshire,158
2010,Kidney disease,Delaware,158
2000,Suicide,Montana,158
2005,CLRD,Alaska,158
2002,Stroke,Alaska,158
2001,Stroke,Alaska,158
2015,Diabetes,Vermont,159
2006,Kidney disease,New Hampshire,160
2008,Unintentional injuries,District of Columbia,160
2016,Kidney disease,New Hampshire,161
2012,Kidney disease,New Hampshire,161
2012,Influenza and pneumonia,Rhode Island,161
2003,Alzheimer's disease,Hawaii,161
2001,Suicide,Maine,161
1999,Unintentional injuries,District of Columbia,161
1999,Kidney disease,New Mexico,162
2005,Suicide,New Hampshire,162
1999,Suicide,Montana,162
2002,Influenza and pneumonia,North Dakota,162
2005,Influenza and pneumonia,Delaware,162
2001,Influenza and pneumonia,North Dakota,162
2015,Diabetes,District of Columbia,162
2014,Alzheimer's disease,Wyoming,162
2009,Stroke,Alaska,162
2008,Kidney disease,Rhode Island,163
2004,Kidney disease,New Hampshire,163
2009,Alzheimer's disease,Delaware,163
2007,Kidney disease,Delaware,163
2016,Suicide,South Dakota,163
2002,Alzheimer's disease,Vermont,163
2000,Diabetes,Vermont,163
2004,Kidney disease,Hawaii,164
2010,Suicide,Alaska,164
2016,Influenza and pneumonia,Rhode Island,165
2009,Kidney disease,New Hampshire,165
2004,Influenza and pneumonia,Montana,165
2004,CLRD,District of Columbia,165
2004,Suicide,Nebraska,166
2009,Suicide,New Hampshire,166
2002,Suicide,Maine,166
2000,Influenza and pneumonia,North Dakota,166
2016,Diabetes,Vermont,166
1999,CLRD,District of Columbia,166
2014,Kidney disease,New Hampshire,167
2007,Kidney disease,Rhode Island,167
2006,Kidney disease,Rhode Island,167
2001,Suicide,New Hampshire,167
2000,Suicide,Idaho,167
2002,Alzheimer's disease,South Dakota,167
2014,Suicide,Alaska,167
2010,Stroke,Alaska,167
2010,Influenza and pneumonia,Montana,168
2008,Influenza and pneumonia,Montana,168
2012,Diabetes,Vermont,168
2002,Influenza and pneumonia,Delaware,168
2011,Diabetes,Vermont,168
2012,Suicide,Alaska,168
2011,Stroke,Alaska,168
2006,Influenza and pneumonia,Montana,169
2010,Influenza and pneumonia,South Dakota,169
2008,Suicide,Alaska,169
2009,Suicide,Nebraska,170
2000,Kidney disease,Utah,170
2007,Diabetes,Vermont,170
2000,Stroke,Alaska,170
2013,Suicide,Hawaii,171
2004,Alzheimer's disease,Hawaii,171
2004,Suicide,Maine,171
2016,Diabetes,North Dakota,171
2013,Suicide,Alaska,171
2003,Alzheimer's disease,Vermont,171
2012,Suicide,Wyoming,171
1999,Stroke,Alaska,171
2001,Kidney disease,New Mexico,172
2011,Kidney disease,New Hampshire,172
2015,Influenza and pneumonia,North Dakota,172
2005,Influenza and pneumonia,North Dakota,172
2008,Stroke,Alaska,172
2004,Stroke,Alaska,172
2008,Kidney disease,Idaho,173
2005,Kidney disease,New Hampshire,173
2001,Diabetes,Hawaii,173
2014,Kidney disease,Delaware,173
2006,Influenza and pneumonia,South Dakota,173
2015,Suicide,South Dakota,173
2005,Diabetes,Vermont,173
2004,Alzheimer's disease,Vermont,173
2016,Suicide,Hawaii,174
2008,Kidney disease,New Hampshire,174
2011,Kidney disease,Rhode Island,174
1999,Alzheimer's disease,Nevada,174
2015,Kidney disease,Delaware,174
2003,Alzheimer's disease,South Dakota,174
2014,Influenza and pneumonia,North Dakota,174
2002,Diabetes,Vermont,174
2013,Kidney disease,New Hampshire,175
2000,Kidney disease,Maine,175
2005,Suicide,Maine,175
2009,Suicide,Hawaii,175
1999,Suicide,Maine,175
2004,Suicide,Montana,175
2001,Suicide,Montana,175
2006,Diabetes,Vermont,175
2000,CLRD,District of Columbia,175
2007,CLRD,Alaska,175
2003,Suicide,Nebraska,176
2014,Influenza and pneumonia,Rhode Island,176
2007,Kidney disease,Hawaii,176
2009,Influenza and pneumonia,Montana,176
2009,Kidney disease,Delaware,176
2014,Diabetes,North Dakota,176
2010,CLRD,Alaska,176
2005,Kidney disease,Utah,177
1999,Suicide,Nebraska,177
2008,Influenza and pneumonia,South Dakota,177
2006,Stroke,Alaska,177
2001,Kidney disease,Utah,178
2013,Kidney disease,Delaware,178
2011,Influenza and pneumonia,South Dakota,178
2005,Stroke,Alaska,178
2006,Kidney disease,Hawaii,179
2008,Suicide,New Hampshire,179
2014,Influenza and pneumonia,Montana,179
2004,Influenza and pneumonia,South Dakota,179
2000,Alzheimer's disease,South Dakota,179
1999,Diabetes,Delaware,179
1999,Diabetes,Vermont,179
2003,Diabetes,District of Columbia,179
2011,Diabetes,Rhode Island,180
2003,Suicide,Montana,180
2000,Diabetes,South Dakota,180
2005,Alzheimer's disease,Delaware,180
2007,Suicide,Nebraska,181
2008,Suicide,Maine,181
2011,Suicide,Hawaii,181
1999,Suicide,Idaho,181
2014,Influenza and pneumonia,South Dakota,181
2001,Influenza and pneumonia,Delaware,181
2008,CLRD,Alaska,181
2015,Stroke,Alaska,182
2015,Influenza and pneumonia,Montana,183
2007,Influenza and pneumonia,Montana,183
2003,Diabetes,Vermont,183
2002,Kidney disease,Utah,184
2013,Influenza and pneumonia,South Dakota,184
2002,Suicide,Montana,184
2005,Alzheimer's disease,Vermont,184
2006,Diabetes,District of Columbia,184
2013,Suicide,New Hampshire,185
2012,Influenza and pneumonia,South Dakota,185
2012,Diabetes,North Dakota,185
2011,Unintentional injuries,District of Columbia,185
2003,Stroke,Alaska,185
2010,Kidney disease,Idaho,186
2009,Kidney disease,Idaho,186
2010,Suicide,Maine,186
2006,Alzheimer's disease,Vermont,186
2005,Suicide,Nebraska,187
2001,Suicide,Nebraska,187
1999,Influenza and pneumonia,New Hampshire,187
2013,Stroke,District of Columbia,187
2014,Alzheimer's disease,Delaware,188
2001,Influenza and pneumonia,South Dakota,188
2012,Stroke,Alaska,188
2010,Alzheimer's disease,Hawaii,189
2012,Influenza and pneumonia,Idaho,189
2015,Influenza and pneumonia,Delaware,189
2007,Influenza and pneumonia,South Dakota,189
2006,Suicide,Montana,189
2008,Kidney disease,Delaware,189
2006,Alzheimer's disease,Delaware,189
2003,Influenza and pneumonia,North Dakota,189
2014,Stroke,Wyoming,189
2013,Stroke,Alaska,189
2012,CLRD,Alaska,189
2016,Kidney disease,Idaho,190
2012,Suicide,Hawaii,190
2009,Kidney disease,Rhode Island,190
2009,Alzheimer's disease,Vermont,190
2008,Suicide,Nebraska,191
2010,Influenza and pneumonia,New Hampshire,191
1999,Kidney disease,Maine,191
2007,Suicide,Maine,191
2006,Diabetes,Delaware,191
2002,Diabetes,District of Columbia,191
2005,Alzheimer's disease,Hawaii,192
2013,Alzheimer's disease,Delaware,192
2010,Diabetes,North Dakota,192
2005,Diabetes,District of Columbia,192
2014,CLRD,Alaska,192
2010,Suicide,Nebraska,193
2011,Suicide,Nebraska,193
2000,Suicide,Nebraska,193
2001,Influenza and pneumonia,Montana,193
2000,Diabetes,Delaware,193
2016,Suicide,Alaska,193
2007,Unintentional injuries,District of Columbia,193
2015,Kidney disease,New Hampshire,194
2014,Influenza and pneumonia,New Hampshire,194
